address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
470 Front St W 1401 Toronto,1,1,Condo Apt Apartment,2700,500-599,C9250791,500,599,549.5,Condo Apartment,Apartment
255 Bamburgh Circ 1502 Toronto,1+1,1,Condo Apt Apartment,2700,1000-1199,E10272135,1000,1199,1099.5,Condo Apartment,Apartment
30 Ordance St 1109 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C10417275,600,699,649.5,Condo Apartment,Apartment
25 Greenview Ave 522 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9391345,600,699,649.5,Condo Apartment,Apartment
160 Kingsway Cres 806 Toronto,1,1,Condo Apt Apartment,2700,600-699,W9358487,600,699,649.5,Condo Apartment,Apartment
36 Forest Manr 1309 Toronto,1+1,1,Condo Apt Apartment,2699,500-599,C9233145,500,599,549.5,Condo Apartment,Apartment
50 John St 712 Toronto,1+1,1,Condo Apt Apartment,2695,700-799,C10425737,700,799,749.5,Condo Apartment,Apartment
50 John St 1122 Toronto,1+1,1,Condo Apt Apartment,2695,700-799,C10425743,700,799,749.5,Condo Apartment,Apartment
8 Charlotte St 411 Toronto,1+1,1,Condo Apt Apartment,2695,700-799,C9347176,700,799,749.5,Condo Apartment,Apartment
45 Charles St E 5306 Toronto,1,1,Condo Apt Apartment,2695,500-599,C9373159,500,599,549.5,Condo Apartment,Apartment
11 Walmer St 604 Toronto,1,1,Condo Apt Apartment,2695,500-599,C9388339,500,599,549.5,Condo Apartment,Apartment
11 Charlotte St 2901 Toronto,1,1,Condo Apt Apartment,2695,500-599,C10424179,500,599,549.5,Condo Apartment,Apartment
11 Walmer Rd 504 Toronto,1,1,Condo Apt Apartment,2695,500-599,C9296856,500,599,549.5,Condo Apartment,Apartment
485 Huron St 503 Toronto,1,1,Condo Apt Apartment,2695,600-699,C9387622,600,699,649.5,Condo Apartment,Apartment
21 Widmer St 3308 Toronto,1,1,Condo Apt Apartment,2695,500-599,C9308169,500,599,549.5,Condo Apartment,Apartment
111 Elizabeth St 752 Toronto,1+1,1,Condo Apt Apartment,2690,600-699,C9295205,600,699,649.5,Condo Apartment,Apartment
1 Edgewater Dr 504 Toronto,1+1,2,Condo Apt Apartment,2690,700-799,C10414646,700,799,749.5,Condo Apartment,Apartment
397 Front St W 2506 Toronto,1+1,1,Condo Apt Apartment,2690,600-699,C10409803,600,699,649.5,Condo Apartment,Apartment
16 Bonnycastle St 3206 Toronto,1+1,1,Condo Apt Apartment,2690,600-699,C10407667,600,699,649.5,Condo Apartment,Apartment
1171 Queen St W 1705 Toronto,1+1,1,Condo Apt Apartment,2690,600-699,C9382222,600,699,649.5,Condo Apartment,Apartment
1 Bloor St 5702 Toronto,1,1,Condo Apt Apartment,2690,500-599,C10427050,500,599,549.5,Condo Apartment,Apartment
14 York St 3704 Toronto,1+1,1,Condo Apt Apartment,2680,600-699,C10384389,600,699,649.5,Condo Apartment,Apartment
15 Holmes Ave 2001 Toronto,1+1,2,Condo Apt Apartment,2680,600-699,C10432400,600,699,649.5,Condo Apartment,Apartment
4955 YONGE St 1111 Toronto,1+1,2,Condo Apt Apartment,2680,600-699,C9767866,600,699,649.5,Condo Apartment,Apartment
32 Forest Manor Rd 1011 Toronto,1+1,2,Condo Apt Apartment,2680,600-699,C10744068,600,699,649.5,Condo Apartment,Apartment
78 Tecumseth St 805 Toronto,1+1,1,Condo Apt Apartment,2680,600-699,C10411361,600,699,649.5,Condo Apartment,Apartment
35 Hollywood Ave 2102 Toronto,1+1,1,Condo Apt Apartment,2680,600-699,C10416688,600,699,649.5,Condo Apartment,Apartment
1001 Bay St 3005 Toronto,1+1,1,Condo Apt Apartment,2680,700-799,C9297370,700,799,749.5,Condo Apartment,Apartment
3 Gloucester St 2104 Toronto,1+1,1,Condo Apt Apartment,2680,600-699,C9365375,600,699,649.5,Condo Apartment,Apartment
5168 Yonge St 1101 Toronto,1+1,1,Condo Apt Apartment,2680,600-699,C10419902,600,699,649.5,Condo Apartment,Apartment
425 Front St E 511 Toronto,1+1,2,Condo Apt Apartment,2680,500-599,C9378573,500,599,549.5,Condo Apartment,Apartment
31 Bales Ave 1215 Toronto,1+1,1,Condo Apt Apartment,2680,600-699,C10442738,600,699,649.5,Condo Apartment,Apartment
