address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,LAT,LONG
195 McCaul St 414 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C9368316,500,599,549.5,Condo Apartment,Apartment,43.6567194,-79.39214460000001
70 Annie Craig Dr 5001 Toronto,1,1,Condo Apt Apartment,2600,500-599,W9385360,500,599,549.5,Condo Apartment,Apartment,43.6247425,-79.4789275
60 Ann O'Reilly Rd 1868 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10406929,600,699,649.5,Condo Apartment,Apartment,43.774404,-79.3294289
25 Viking Lane 658 Toronto,1+1,1,Comm Element Condo Apartment,2600,600-699,W10421462,600,699,649.5,Common Element Condo,Apartment,43.6383246,-79.53595299999999
19 Bathurst St 1210 Toronto,1+1,1,Comm Element Condo Apartment,2600,500-599,C9304490,500,599,549.5,Common Element Condo,Apartment,43.6375621,-79.3996469
90 Stadium Rd Th109 Toronto,1+1,1,Condo Townhouse 2-Storey,2600,600-699,C9769320,600,699,649.5,Condo Townhouse,2-Storey,43.6348555,-79.4012965
135 East Liberty St 1107 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10414242,600,699,649.5,Condo Apartment,Apartment,43.638566,-79.416906
80 Marine Parade Dr 2706 Toronto,1,1,Condo Apt Apartment,2600,600-699,W10440673,600,699,649.5,Condo Apartment,Apartment,43.6261915,-79.4773594
275 Yorkland Rd 1806 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10420783,600,699,649.5,Condo Apartment,Apartment,43.7746398,-79.33694849999999
112 George St 823 Toronto,1,1,Condo Apt Apartment,2600,700-799,C10426972,700,799,749.5,Condo Apartment,Apartment,43.6520584,-79.37145749999999
251 Manitoba St 1119 Toronto,1,1,Condo Apt Apartment,2600,600-699,W9397691,600,699,649.5,Condo Apartment,Apartment,43.6238372,-79.4893647
100 Harbour St 6201 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9396813,500,599,549.5,Condo Apartment,Apartment,43.64177249999999,-79.37914599999999
11 Wellesley St W 3906 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10884925,500,599,549.5,Condo Apartment,Apartment,43.66459769999999,-79.3852242
1055 Bay (Furnished & Prkng) St 913 Toronto,1+1,1,Condo Apt Apartment,2600,0-499,C9510681,0,499,249.5,Condo Apartment,Apartment,43.6668203,-79.38762559999999
85 Queens Wharf Rd 307 Toronto,1,1,Condo Apt Apartment,2600,500-599,C10410255,500,599,549.5,Condo Apartment,Apartment,43.6388838,-79.3986923
15 Singer Crt 915 Toronto,1+1,2,Condo Apt Apartment,2600,700-799,C9389754,700,799,749.5,Condo Apartment,Apartment,43.76950050000001,-79.3687994
238 BONIS Ave 721 Toronto,1+0,1,Condo Apt Other,2600,700-799,E10429153,700,799,749.5,Condo Apartment,Other,43.7859188,-79.2904455
2 Rean Dr 1210 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10255594,600,699,649.5,Condo Apartment,Apartment,43.7656347,-79.3831635
218 Queens Quay W 403 Toronto,1+1,2,Condo Apt Apartment,2600,700-799,C10429287,700,799,749.5,Condo Apartment,Apartment,43.6399111,-79.3820853
197 Yonge St 4705 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10430221,600,699,649.5,Condo Apartment,Apartment,43.65343590000001,-79.3791875
130 River St 1710 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10406679,600,699,649.5,Condo Apartment,Apartment,43.6615739,-79.3586529
286 Main St 1206 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,E9380051,600,699,649.5,Condo Apartment,Apartment,43.68745639999999,-79.30186909999999
1630 Queen St E 202 Toronto,1,1,Condo Apt Apartment,2600,500-599,E9506440,500,599,549.5,Condo Apartment,Apartment,43.6666712,-79.3157336
1100 Sheppard Ave W 511 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,W9347681,600,699,649.5,Condo Apartment,Apartment,43.7517462,-79.46637489999999
121 Lower Sherbourne St 956 SW Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10442544,600,699,649.5,Condo Apartment,Apartment,43.6495044,-79.3670392
170 Sumach St 1901 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10441578,600,699,649.5,Condo Apartment,Apartment,43.6603591,-79.3605779
18 GRAYDON HALL Dr 1101 Toronto,1,1,Condo Apt Apartment,2600,600-699,C10744161,600,699,649.5,Condo Apartment,Apartment,43.7626972,-79.3464882
50 Thomas Riley Rd 1303 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,W10429338,600,699,649.5,Condo Apartment,Apartment,43.6338301,-79.5415913
2230 Lake Shore Blvd W 2705 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,W10423913,600,699,649.5,Condo Apartment,Apartment,43.6215812,-79.4826669
21 Scollard St 103 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10420934,600,699,649.5,Condo Apartment,Apartment,43.6723186,-79.3888131
5162 Yonge St 2008 Toronto,1,1,Condo Apt Apartment,2600,500-599,C10433990,500,599,549.5,Condo Apartment,Apartment,43.7696494,-79.4138759
25 Neighbourhood Lane 202 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,W10420229,500,599,549.5,Condo Apartment,Apartment,43.6382223,-79.48922499999999
460 Adelaide St E 521 Toronto,1+1,1,Condo Apt Multi-Level,2600,600-699,C9419382,600,699,649.5,Condo Apartment,Multi-Level,43.6529344,-79.36660599999999
