Listing ID,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
C10415271,448 Spadina Rd 407 Toronto,1+0,1.0,549.5,43.6892777,-79.4133196,Forest Hill South,39.0,1845.0
C9395205,8 Cumberland St 4702 Toronto,1+0,1.0,749.5,43.6710845,-79.38778730000001,Annex,12.0,1850.0
E9768654,90 Glen Everest Rd 308 Toronto,1+0,1.0,249.5,43.7031342,-79.25277299999999,Birchcliffe-Cliffside,95.0,1850.0
C10416131,191 St George St 907 Toronto,1+0,1.0,649.5,43.67154410000001,-79.40108219999999,Annex,12.0,1850.0
C10422353,55 Bremner Blvd 3207 Toronto,1+0,1.0,849.5,43.642884,-79.3804767,St Lawrence-East Bayfront-The Islands,35.0,1850.0
C10414485,191 St George St 707 Toronto,1+0,1.0,649.5,43.67154410000001,-79.40108219999999,Annex,12.0,1850.0
E10431104,1 Falaise Rd 101 Toronto,1+0,1.0,249.5,43.7693451,-79.1887643,West Hill,156.0,1850.0
C9400140,2191 Yonge St 811 Toronto,1+0,1.0,1099.5,43.70559790000001,-79.397714,South Eglinton-Davisville,20.0,1880.0
E10417226,2 Kingston Rd 16 Toronto,1+0,1.0,749.5,43.7567385,-79.2001641,West Hill,156.0,1900.0
C9382446,126 Dundas St E 205 Toronto,1+0,1.0,549.5,43.6567816,-79.37641789999999,Downtown Yonge East,34.0,1900.0
E9770105,4 Kingston Rd 39 Toronto,1+0,1.0,749.5,43.74378900000001,-79.21098839999999,Scarborough Village,152.0,1900.0
E9382560,12 Kingston Rd 77 Toronto,1+0,1.0,749.5,43.7575665,-79.19937399999999,West Hill,156.0,1900.0
C10421461,195 McCaul St 219 Toronto,1+0,1.0,249.5,43.6567194,-79.39214460000001,Kensington-Chinatown,48.0,1900.0
C9512638,120 Parliament St 1307 Toronto,1+0,1.0,249.5,43.6537663,-79.36406769999999,Moss Park,69.0,1900.0
E10440918,156 Kingston Rd 10 Toronto,1+0,1.0,649.5,43.6711272,-79.3113905,Woodbine Corridor,42.0,1900.0
E9465244,156 Kingston Rd 306 Toronto,1+0,1.0,649.5,43.6711272,-79.3113905,Woodbine Corridor,42.0,1900.0
E9236039,10 Kingston Rd 92 Toronto,1+0,1.0,749.5,43.6683204,-79.31227299999999,Woodbine Corridor,42.0,1900.0
C9509921,15 Fort York Blvd 4503 Toronto,1+0,1.0,849.5,43.6398873,-79.3938891,Harbourfront-CityPlace,21.0,1900.0
C10416994,18 Yorkville Ave 505 Toronto,1+0,1.0,249.5,43.6720014,-79.3879279,Annex,12.0,1900.0
E9506710,156 Kingston Rd 216 Toronto,1+0,1.0,649.5,43.6711272,-79.3113905,Woodbine Corridor,42.0,1900.0
C10414582,39 Brant St 716 Toronto,1+0,1.0,249.5,43.6464821,-79.39809850000002,Wellington Place,5.0,1900.0
C9399205,2135 Avenue Rd 102 Toronto,1+0,0.0,549.5,43.7060864,-79.4097176,Yonge-Eglinton,36.0,1925.0
C9416198,414 Jarvis St E 104 Toronto,1+0,1.0,549.5,43.6646874,-79.3783718,Church-Wellesley,28.0,1930.0
C9390221,414 Jarvis St E 207 Toronto,1+0,1.0,549.5,43.6646874,-79.3783718,Church-Wellesley,28.0,1930.0
W9767885,1 Triller Ave 207 Toronto,1+0,1.0,549.5,43.6379179,-79.4432703,South Parkdale,144.0,1945.0
C10426054,195 McCaul St 1309 Toronto,1+0,1.0,249.5,43.6567194,-79.39214460000001,Kensington-Chinatown,48.0,1950.0
C10424330,77 Shuter St 2015 Toronto,1+0,1.0,249.5,43.6549921,-79.375121,Downtown Yonge East,34.0,1950.0
W9379783,2362 Islington Ave 14 Toronto,1+0,1.0,649.5,43.7193014,-79.557535,Rexdale-Kipling,149.0,1950.0
C10422618,127 Broadway Ave 302 Toronto,1+0,1.0,249.5,43.7103794,-79.3921761,North Toronto,55.0,1950.0
C10874895,781 St Clair Ave W 5 Toronto,1+0,1.0,249.5,43.6807352,-79.4291367,Wychwood,22.0,1950.0
C10707946,500 Wilson Ave 637 Toronto,1+0,1.0,249.5,43.7353752,-79.4454727,Clanton Park,76.0,1950.0
C10433377,127 Broadway Ave 1507 Toronto,1+0,1.0,549.5,43.7103794,-79.3921761,North Toronto,55.0,1950.0
C10707743,117 Broadway Ave 308 Toronto,1+0,1.0,249.5,43.71035699999999,-79.3925946,North Toronto,55.0,1975.0
C10431315,420 Eglinton Ave E 301 Toronto,1+0,1.0,549.5,43.709819,-79.3852845,Mount Pleasant East,14.0,1975.0
C9374627,191 St George St 804 Toronto,1+0,1.0,649.5,43.67154410000001,-79.40108219999999,Annex,12.0,1975.0
W9012948,2515 Eglinton Ave W 301 Toronto,1+0,1.0,649.5,43.69092149999999,-79.4705841,Keelesdale-Eglinton West,118.0,1975.0
C10411546,77 SHUTER St 1915 Toronto,1+0,1.0,249.5,43.6549921,-79.375121,Downtown Yonge East,34.0,1980.0
C10429969,127 Broadway Ave 1610 Toronto,1+0,1.0,549.5,43.7103794,-79.3921761,North Toronto,55.0,1980.0
C10430564,117 BROADWAY Ave N 311 Toronto,1+0,1.0,249.5,43.71035699999999,-79.3925946,North Toronto,55.0,1995.0
W9767851,1 Triller Ave 308 Toronto,1+0,1.0,549.5,43.6379179,-79.4432703,South Parkdale,144.0,1995.0
E10411321,630 Queen St E 416 Toronto,1+0,1.0,549.5,43.6584078,-79.35265009999999,South Riverdale,58.0,1995.0
W9262276,1401 Dupont St 227 Toronto,1+0,1.0,549.5,43.666383,-79.44674289999999,Junction-Wallace Emerson,50.0,1999.0
W10427461,105 The Queensway 409 Toronto,1+0,1.0,549.5,43.6358626,-79.471413,High Park-Swansea,37.0,1999.0
W10423955,9 Croham Rd 215 Toronto,1+0,1.0,549.5,43.69309699999999,-79.46394409999999,Briar Hill-Belgravia,100.0,1999.0
W10423930,9 Croham Rd 314 Toronto,1+0,1.0,549.5,43.69309699999999,-79.46394409999999,Briar Hill-Belgravia,100.0,1999.0
